community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
6.2,Okay,"After crash-landing in unknown territory, players must retrieve a magical pearl of power in order to save their homeland of Calli. O.D.T. features four playable characters, (a wizard, a female fighter, a soldier or a mercenary), each with their own unique strengths and weaknesses. Depending on which character a player selects, the gaming outcome may vary. For example, the wizard, who may not possess the maneuvering skills of the mercenary, may need to find an alternative route around an area that the mercenary could scale with ease. Likewise, a mercenary may have trouble dealing with an obstacle that requires a magical presence, in which case the wizard would be very beneficial. Features include 16 different spells, four weapons with nine power-levels each and RPG-like elements with its own player-management system, constitution, weapon control and spirit abilities.",Psygnosis,Action,5.5,Mediocre,PS N64 PC,24.99 USD,Psygnosis,T for Teen,"Blood, Animated Violence","http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","November 30, 1998",http://psx.ign.com/articles/152/152329p1.html,O.D.T.: Escape... ...Or Die Trying,http://www.ign.com/games/odt-escape-or-die-trying/ps-2329
6.0,Okay,"Experience the future of extreme sports today with STREAK: Hoverboard Racing. You can race as 12 different boarders on one of 12 different hoverboards. After selecting a board and rider, use the Training mode to learn the twists and turns of all 12 tracks. Keep in mind that pulling off big stunts will increase your speed. When you want a challenge, try to attain the highest ranking by racing your way through the Streaker Circuit in the Career mode. When the computer-controlled competition doesn't the proper level of challenge, you can race against your friends in a Two-Player split-screen race. If you don't want to race at all, you can concentrate on performing tricks in the Freestyle mode. Do you have the skills to master STREAK: Hoverboard Racing?",Singletrac,Racing,4.5,Bad,PS PSP PS3,51.99 USD,GT Interactive,E for Everyone,,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 26, 1998",http://psx.ign.com/articles/153/153767p1.html,Streak: Hoverboard Racing,http://www.ign.com/games/streak-hoverboard-racing/ps-3767
7.0,Good,"The theme with Nintendo 64 hockey sequels is: The same game in different packaging. Wayne Gretzky?s 3D hockey from Midway did the same thing, and other than a few menu changes and a create a player feature, Acclaim just pulled a Midway. Again, a great simulation NHL Breakaway does have a great simulation based game, it is just very similar to last years version.",Iguana West,Sports,6.0,Okay,N64,27.99 USD,Acclaim Entertainment,E for Everyone,Animated Violence,"http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Nov. 27, 1998",http://ign64.ign.com/articles/159/159947p1.html,NHL Breakaway '99,http://www.ign.com/games/nhl-breakaway-99/n64-9947
6.6,Okay,"Bowling fans can enjoy an evolved form of the game set in the space-age future with MILO'S ASTRO LANES. Milo Terwilliker, whose name graces the alley, is at the center of this bowling universe. You can take advantage of power-ups, strategic points located along the lanes that change the performance of your bowling ball, to knock down the pins. You can also mega-size your ball to mow down more pins, or splinter it into three separate balls to increase your chances. The power-ups can also be used to your advantage as defensive tactics, by transforming your opponent's ball into the size of a pea or melting it with an acid spray. As the game progresses, you'll be rewarded with bonus rounds and more lanes. Enjoy these special attacks, the Multiplayer mode, and more as you raze the competition!",Player 1,Action,6.1,Okay,N64,62.99 USD,Crave Entertainment,E for Everyone,,"http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Nov. 24, 1998",http://ign64.ign.com/articles/152/152295p1.html,Milo's Astro Lanes,http://www.ign.com/games/milos-astro-lanes/n64-2295
5.9,Mediocre,"The pure and unadulterated thrill of competition comes to the Nintendo 64 with FOX SPORTS COLLEGE HOOPS ‘99. You can choose to play as one of 120 big-time college basketball programs. Once you have your team, play an Exhibition mode to get a feel for your team's offense and defense. For more challenging competition, guide your squad through a season and try to make the NCAA Tournament. If you want, you can skip the season and go to a conference tournament, or directly to the Final Four. The Season and Tournament modes will track statistics with the aid of a memory pack. Since there are six different camera angles to play from, you will not miss a second of the action. Lead your team to the big dance with FOX SPORTS COLLEGE HOOPS '99.",Z-Axis,Sports,4.8,Bad,N64,28.99 USD,Fox Interactive,E for Everyone,,"http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Nov. 23, 1998",http://ign64.ign.com/articles/152/152235p1.html,FOX Sports College Hoops '99,http://www.ign.com/games/fox-sports-college-hoops-99/n64-2235
8.4,Great,"The Death Star has been destroyed thanks to Skywalker's and Wedge Antilles' efforts. But the Empire is quickly regaining strength; Rogue Squadron is formed comprising the best pilots in the Alliance. Their current mission: stop the imperial threats over Alliance planets in twelve missions (plus secret). Their vehicles: X-Wings, A-Wings, V-Wings, the snowspeeder and, with the latest patch, even an Episode 1 Naboo Fighter!","Factor 5, LucasArts",Flight,8.3,Great,PC N64,9.99 USD,LucasArts,T for Teen,Animated Violence,"http://www.ign.com/games/squadron-42/pc-20046151,http://www.ign.com/games/star-citizen/pc-144978,http://www.ign.com/games/microsoft-flight/pc-83711,http://www.ign.com/games/lords-of-the-fallen/pc-131477,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/guacamelee/pc-20003228,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Dec 3, 1998",http://pc.ign.com/articles/160/160583p1.html,Star Wars: Rogue Squadron 3D,http://www.ign.com/games/star-wars-rogue-squadron/pc-10583
6.9,Okay,"If you've always wanted to race as a wild animal in a combat car circa the year 3000   strangely enough, your dream has come true. Choose from five animal cars Mammoth, Rhino, Lion, Mantis, or Shark each made unique by its speed, handling, armor, and weapons. Grand Prix Mode gives you three main cups composed of a few races each and there's a customizable cup that can last for up to eight races. In Challenge Mode, you race against one of four additional characters Cheetah, Panther, Cobra, or Scorpion  earning the right to play as that character if you defeat him, which just isn't going to be easy. All of the standard weapons are here (missiles, shields, and turbos), plus some more inventive weapons, such as freeze magnets and energy fields. The best weapon, however, may well be a ticking time bomb that gets passed back and forth between racers until it decides to go off. With inventive combat and characters, exciting graphics, and solid gameplay in the tradition of SUPER MARIO KART, S.C.A.R.S. is an original!",Vivid Image,Racing,7.9,Good,N64,54.99 USD,Ubisoft,E for Everyone,Animated Violence,"http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Dec. 04, 1998",http://ign64.ign.com/articles/153/153958p1.html,S.C.A.R.S,http://www.ign.com/games/scars/n64-3958
7.2,Good,"Professional boxing comes to the PlayStation with KNOCKOUT KINGS. Choose from 38 professional boxers from all weight classes including Evander Holyfield, Ike Quartey, Lennox Lewis, Michael Moore, Shane Mosley, Oscar De La Hoya, ""Sugar"" Ray Leonard, and Muhammad Ali. For some quick action, choose any two boxers and enter an Arcade match. Arcade matches are less realistic and can result in quick knockouts. However, you can also choose to play in a simulation Exhibition match, where you must master ring strategies and wear down your opponent. If you are looking for a real challenge, create a boxer and fight through the ranks and become world champion. KNOCKOUT KINGS brings the subtlety of the sweet science to your living room, without having pay outrageous pay-per-view prices.",Press Start Studio,Sports,7.3,Good,PS GBC,50.99 USD,Electronic Arts,E for Everyone,"Animated Blood, Animated Violence","http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 25, 1998",http://psx.ign.com/articles/153/153989p1.html,Knockout Kings,http://www.ign.com/games/knockout-kings/ps-3989
7.6,Good,"The future of racing is here, and it's called MOTORHEAD. This game allows you to hop in one of 10 streamlined racers and test your skills on eight obstacle-filled courses that wind through urban, desert, and seaside terrain. Play modes include the standard Time Attack, Single Race, League, and Head-to-Head competition found in any decent racing game. One unique feature of MOTORHEAD is that you can choose between 30 or 60 frames per second. Choosing 60fps gives the game a polished look, but you're limited to a three-car field. While going with 30fps hurts in the visual department, it does expand the field to seven cars; you'll probably want to experiment with both to figure out which one works best for you.. This futuristic racer has impressive visuals and cleverly designed vehicles that help put you in a futuristic state of mind. So if you're in the mood for a fast and fun racing experience, get your hands on MOTORHEAD.",Gremlin Interactive Limited,Racing,5.0,Mediocre,PS PSP PC PS3 PC,26.99 USD,Fox Interactive,E for Everyone,No Descriptors,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 30, 1998",http://psx.ign.com/articles/160/160435p1.html,Motorhead,http://www.ign.com/games/motorhead/ps-10435
7.4,Good,"When your town is being overrun with colored blocks, there's only one man to call: MR. DRILLER. Creeping up from deep within the earth, the adorably button-nosed Mr. Driller must get to the bottom of things   literally. MR. DRILLER's Arcade mode requires you to burrow to the bottom of either a 2500- or 5000-foot passage. By facing a direction, Mr. Driller will drill through the block next to him, causing all like-colored blocks touching it to crumble as well. Three obstacles gravity, Mr. Driller's air supply, and the insidious X blocks make this harder than it sounds. Two additional modes, Survival and Time Attack, add to the replay value. MR. DRILLER is a cute puzzle game that harkens back to old-school games like DIG DUG.",ArtDink,Puzzle,7.8,Good,PS,35.99 USD,Acclaim Entertainment,E for Everyone,,"http://www.ign.com/games/one-piece-mansion/ps-488410,http://www.ign.com/games/wheel-of-fortune-1998/ps-10374,http://www.ign.com/games/shanghai-true-valor/ps-11799,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Dec 2, 1998",http://psx.ign.com/articles/160/160165p1.html,No One Can Stop Mr. Domino,http://www.ign.com/games/no-one-can-stop-mr-domino/ps-10165
6.7,Okay,"Tommy can't find his Reptar puzzle pieces, and its up to the rest of the gang to help him out. Play as Chuckie, Angelica, Phil, and Lil as you search the Rugrats world for the 12 missing pieces to Tommy's puzzle. The 3D adventure begins in the Pickles' house but continues to the backyard, a miniature golf course, a supermarket, and even the toy store! Objects you find will grant you access to more advanced levels (there are 14 in all), each of which is classified as easy, medium, or hard. On each level, your task is to help a Rugrat complete his or her mission and each challenge you meet will help you finish the puzzle. As you're playing, you'll stumble onto bonus levels like ""Cookie Race,"" ""Touchdown Tommy,"" and ""No More Cookies."" Each bonus challenge will help you earn Reptar Bars 15 of which will get you a puzzle piece. You don't have to be a baby to appreciate this amusing epic.",n-Space,Platformer,6.5,Okay,PS,28.99 USD,THQ,E for Everyone,,"http://www.ign.com/games/crash-bandicoot/ps-603,http://www.ign.com/games/crash-bandicoot-warped/ps-3919,http://www.ign.com/games/crash-bandicoot-2-cortex-strikes-back/ps-2037,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 30, 1998",http://psx.ign.com/articles/160/160340p1.html,Rugrats: The Search for Reptar,http://www.ign.com/games/rugrats-the-search-for-reptar/ps-10340
7.5,Good,"Get ready to tear up some asphalt in this installment of the popular TOP GEAR series. Unlike the simulation-style racing of its predecessors, TOP GEAR OVERDRIVE comes complete with wacky leaps, Nitro bursts, and insane shortcuts. The seven all-new tracks take you through ancient ruins, glacial peaks, creepy swamps, and towering skyscrapers, and each of the tracks can also be mirrored making for twice as many courses.  The Championship mode starts you out with one of two inferior machines, challenging you to move up from 12th place. If you finish in the top four spots, you'll earn enough money to upgrade your vehicle, and you can keep doing so as long as you can keep finishing in the top four. Championship mode will take you through six grueling seasons in this manner.",Snowblind Studios,Racing,8.0,Great,N64,38.99 USD,"Kemco, Vatical Entertainment",E for Everyone,,"http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Nov. 23, 1998",http://ign64.ign.com/articles/153/153901p1.html,Top Gear Overdrive,http://www.ign.com/games/top-gear-overdrive/n64-3901
7.5,Good,,Pitbull Syndicate,Racing,7.8,Good,PC PS,6 USD,Accolade,E for Everyone,No Descriptors,"http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Nov 20, 1998",http://pc.ign.com/articles/160/160568p1.html,Test Drive 5,http://www.ign.com/games/test-drive-5/pc-10568
6.5,Okay,"Buy up vowels to win fabulous prizes in Wheel of Fortune, the game based on the popular show.",Artech Studios,Trivia,6.9,Okay,PC Saturn 3DO,32.99 USD,Hasbro Interactive,E for Everyone,No Descriptors,"http://www.ign.com/games/who-wants-to-be-a-millionaire-2nd-edition-uk/pc-832835,http://www.ign.com/games/you-dont-know-jack/pc-100236,http://www.ign.com/games/who-wants-to-be-a-millionaire-1999/pc-13563,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Nov 15, 1998",http://pc.ign.com/articles/160/160570p1.html,Wheel of Fortune,http://www.ign.com/games/wheel-of-fortune-107470/pc-10570
7.1,Good,"The basis for BUCK BUMBLE is not as far-fetched as you might imagine. The catalyst is a truck hauling some toxic waste to the dump that accidentally splashes a country field with the deadly toxins. The insects that survive the spill instantly begin transforming both mentally and physically. Soon a sophisticated military hierarchy has developed one with a single goal in mind: conquer all the insect races on the planet. Young Buck Bumble is a brave bumblebee that wants to fight for freedom. After he's told that he's too scrawny to become a soldier, he volunteers for a dangerous Super Insect Soldier program. In a flash of light, super-powered BUCK BUMBLE stands ready to defeat the EVIL HERD in a senses-shattering 3D shooter that has you battling cybernetic insects like acid-spitting Ants, Giz Beetles, Transporter insects, Craneflies, Dragonflies, Wasp MK1 Units, and the dreaded ""Killapillas.""",Argonaut Games,Action,7.2,Good,N64,38.99 USD,Ubisoft,E for Everyone,Animated Violence,"http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Nov. 20, 1998",http://ign64.ign.com/articles/152/152304p1.html,Buck Bumble,http://www.ign.com/games/buck-bumble/n64-2304
8.5,Great,"ODDWORLD: Abe's Exoddus is another wild adventure for Abe and his enslaved friends. Cast with a zoo of bizarre characters almost all of whose favorite past time is to injure, torture, or brutalize the benevolent Mudokons Exoddus features similar gameplay to the first ODWORLD title, namely 2D platforming. People have always flocked to this series because of the lovable characters and offbeat sense of humor found in the games. New characters include Fleeches, Greeters, Slurgs, Slogs, Flying Sligs, and Sloggies. The old favorites have also returned and include Scrabs, Paramites, and Sligs. A new wrinkle in the game is that you can now possess Scrabs, Paramites, and Glukkons; you can command Sligs to do your dirty work as well.",Oddworld Inhabitants,Adventure,7.8,Good,PS PC PS3 PSP PC,51.99 USD,GT Interactive,T for Teen,"Blood, Comic Mischief, Violence","http://www.ign.com/games/silent-hill/ps-3982,http://www.ign.com/games/dino-crisis/ps-11235,http://www.ign.com/games/oddworld-abes-oddysee/ps-2094,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 25, 1998",http://psx.ign.com/articles/160/160403p1.html,Oddworld: Abe's Exoddus,http://www.ign.com/games/oddworld-abes-exoddus/ps-10403
8.2,Great,"Instead of trying to recreate the World Cup tournament, FIFA 99 squarely focuses on the the European league, with more than 250 soccer teams battling for the cup. Don't worry, EA didn't forget about the rest of the World. You can select plenty of international teams, from Argentina to Yugoslavia, as well as US and Brazilian league teams. FIFA 99 also dishes up a much more varied lineup of game modes, including a European Dream league and Cup Creation modes. In addition to its wider variety of modes, EA wisely included a Player Edit and a Team Edit function, so you can keep your teams up to date (you need a memory pak to save, of course). Like in FIFA 98, you can change face maps, give your players names, adjust attributes, and so forth. However, there are still no separate height and weight attributes for players.",Electronic Arts,Sports,8.7,Great,PC N64 PS,62.99 USD,Electronic Arts,E for Everyone,Animated Violence,"http://www.ign.com/games/nba-2k17/pc-20052300,http://www.ign.com/games/pro-evolution-soccer-2017/pc-20054110,http://www.ign.com/games/wwe-2k17/pc-20063609,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Nov 21, 1998",http://pc.ign.com/articles/160/160156p1.html,FIFA '99,http://www.ign.com/games/fifa-99/pc-10156
6.8,Okay,"Free your homeland in 19th-century Prague from a horde of gothic horror monsters that have been released by an evil wizard in this action-adventure. Your ultimate goal is to hunt down Adam Crowley, who has resurrected the Brotherhood of Hecate. You will yield weapons such as swords and other items and powerups like proximity mines, all aiding you in your heroic crusade of cleaning the zombies off the streets.",Kalisto Entertainment,Action,7.4,Good,N64 Saturn PC Cell PS,35.99 USD,Activision,M for Mature,"Blood, Gore, Animated Violence","http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","November 30, 1998",http://ign64.ign.com/articles/154/154018p1.html,Nightmare Creatures,http://www.ign.com/games/nightmare-creatures/n64-4018
9.1,Amazing,"You are Gordon Freeman, a young research associate in the Anomalous Materials Laboratory. You have limited security clearance and no real idea of just how dangerous your job has become, until the morning you are sent alone into the Test Chamber to analyze a strange crystalline specimen. A routine analysis, they tell you. Until something goes wrong. In this legendary FPS, players enlist the help of traumatized scientists and trigger-happy security guards to get through high-security zones, sneaking and fighting your way through ruined missile silos and Cold War cafeterias, through darkened airducts and subterranean railways. When you finally come in sight of the surface, you realize that the inhuman monsters aren't your only enemies-for the government has sent in ruthless troops and stealthy assassins. Their orders seem to be that when it comes to the Black Mesa, nothing gets out alive... and especially not you.",Valve,"First-Person, Shooter",9.5,Amazing,PC Mac DC PS2 GP32,73.99 USD,Sierra Studios,M for Mature,"Blood and Gore, Intense Violence, Language","http://www.ign.com/games/ghost-recon-wildlands/pc-20038799,http://www.ign.com/games/tom-clancys-the-division/pc-20004178,http://www.ign.com/games/borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler/pc-20007853,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Nov 19, 1998",http://pc.ign.com/articles/153/153107p1.html,Half-Life,http://www.ign.com/games/half-life-1/pc-3107
8.0,Great,"Heretic II is a third-person action game based on the Quake II engine that plunges you into a deep, compelling game combining brutal face-to-face combat and mystery-laden adventure. Gamers travel through complex, richly detailed environments filled with stunning special effects, wicked magic spells, detailed characters, vivid artwork and challenging level designs created by the Raven team and renowned fantasy artist Brom.",Raven Software,Action,7.9,Good,PC Mac,71.99 USD,Activision,T for Teen,"Animated Blood and Gore, Animated Violence","http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/metal-gear-solid-5/pc-20023125,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Nov 24, 1998",http://pc.ign.com/articles/153/153715p1.html,Heretic II,http://www.ign.com/games/heretic-ii/pc-3715
7.6,Good,"Colonel John Blade, the leader of HARDCORPS, quickly finds himself up against Elexis Sinclaire, a very rich and very intelligent biochemist in this action-packed FPS. Elexis has her own plans for the city of Freeport and they aren't good. Sin is a fully-integrated first-person 3D action game utilizing id software's Quake II 3D engine.",Ritual Entertainment,"First-Person, Shooter",7.0,Good,PC,,Activision,M for Mature,"Blood and Gore, Intense Violence, Language, Sexual Themes","http://www.ign.com/games/ghost-recon-wildlands/pc-20038799,http://www.ign.com/games/tom-clancys-the-division/pc-20004178,http://www.ign.com/games/borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler/pc-20007853,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Nov 4, 1998",http://pc.ign.com/articles/153/153130p1.html,SiN,http://www.ign.com/games/sin/pc-3130
8.6,Great,"BUST A GROOVE brings dance simulation to the PlayStation. Choose from 10 dancers, each created using motion-capture animation, which results in the most authentic moves possible. After picking a dancer, hit the dance floor in the Practice mode to get a feel for the control. When linking moves together becomes child's play, hit the dance scene in the One-Player mode where the goal is to get the crowd and the camera to pay exclusive attention to you. When your groove becomes too hot for the computer to handle, challenge friends with the Two-Player mode. No matter what mode you play, a wide selection of ska, techno, disco, and hip-hop house music provides the beat for all of the action. If hearing music makes you want to shake your booty, then BUST A GROOVE is the game for you.",Metro Corporation (aka Metro Graphics),Music,9.0,Amazing,PS Arcade,49.99 USD,"Sony Computer Entertainment, 989 Studios",E for Everyone,Mild Language,"http://www.ign.com/games/guitar-freaks/ps-12563,http://www.ign.com/games/bust-a-groove-2/ps-11939,http://www.ign.com/games/mtv-music-generator/ps-13748,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/hot-shots-golf-2/ps-13666,http://www.ign.com/games/one-piece-mansion/ps-488410,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 25, 1998",http://psx.ign.com/articles/152/152308p1.html,Bust A Groove,http://www.ign.com/games/bust-a-groove/ps-2308
9.7,Amazing,"Nintendo's highly acclaimed adventure brings the classic series into the third dimension. After a nightmare involving a certain young princess and the evil thief Ganondorf, series hero Link wakes up in his home village tucked away behind the mysterious Lost Woods. The only Kokiri without a fairy, Link soon meets up with his new traveling companion, the winged Navi, and sets out on the adventure of his life. The quest, which inevitably turns into a rescue mission for Princess Zelda, leads players through dark dungeons, picturesque villages, into the heart of a volcano, to the bottom of a lake, through a haunted desert, deep into a magical forest, into a giant tree, the belly of a beast, and even through time.",Nintendo EAD,Action,10,Masterpiece,N64 Wii Wii U iQ,49.99 USD,Nintendo,E for Everyone,Animated Violence,"http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/pokemon-snap/n64-2335,http://www.ign.com/games/conkers-bad-fur-day/n64-13960,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/conkers-bad-fur-day/n64-13960,http://www.ign.com/games/resident-evil-2/n64-10798,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/super-mario-64/n64-606,http://www.ign.com/games/mario-kart-64/n64-502","November 23, 1998",http://ign64.ign.com/articles/150/150437p1.html,The Legend of Zelda: Ocarina of Time,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437
8.2,Great,"Three ancient spirits ruled the Dark World; Jedah, the oldest spirit, was resurrected. In an effort to rule over the Dark World alone, Jedah wants to save all of the dispirited souls. To create his perfect salvation, he calls those with valuable souls to his world so can take control of them. Choose from 18 horror themed characters as they battle in a tournament to the death. Every character has unique combinations and ultra powerful dark force moves. Be warned, though, as the arenas can have positive and negative effects on the fighters. You'll be mesmerized by the gorgeous, hand drawn animation that brings the action to life. After beating the computer controlled contenders, challenge your friends in the versus mode, and if they fear your superior skills, feel free to handicap the match. Darkstalkers 3 will challenge your skills as you fight to become the ruler of the night.",Capcom,Fighting,8.0,Great,PS PS2 Saturn Arcade PS3 PSP,28.9 USD,Capcom,T for Teen,"Animated Blood, Animated Violence","http://www.ign.com/games/street-fighter-alpha/ps-181,http://www.ign.com/games/digimon-world-2/ps-16355,http://www.ign.com/games/tekken-3/ps-2294,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","November 18, 1998",http://psx.ign.com/articles/153/153949p1.html,Darkstalkers 3,http://www.ign.com/games/darkstalkers-3/ps-3949
