community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
8.0,Great,"EverQuest is one of the most popular online role-playing games: play the black knight, the reclusive wizard, or the crafty rogue in this immersive and mythic world of stellar fantasy. And with never before seen, state-of-the-art 3D graphics, you'll never want to leave the world of EverQuest.",Verant Interactive,"Persistent Online, RPG",8.4,Great,PC,9.99 USD,Sony Online Entertainment,T for Teen,"Blood and Gore, Suggestive Themes, Use of Alcohol, Violence","http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505,http://www.ign.com/games/the-witcher-3/pc-134497,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Mar 16, 1999",http://pc.ign.com/articles/152/152252p1.html,EverQuest,http://www.ign.com/games/everquest/pc-2252
7.7,Good,"With a quirky mix of toy car racers and sophisticated gameplay, Micro Machines 64 Turbo guarantees to be a refreshing addition to the stable of standard racing games. The wide variety of vehicles featured includes Formula 1 racers, speed boats, monster trucks, tanks, and ice cream trucks. Choose from 25 whimsical tracks, which run the gamut from a kitchen table to a chemistry lab, each including the appropriate props to match the d¿cor. Such detail rich touches keep this game interesting, even to the most jaded gamer. Belying the kiddie car appearance, the game requires you to plan strategically if you want to emerge the winner, making good use of the weapons at your disposal. You must also negotiate sharp turns and avoid hazards if you want to emerge victorious. Multiplayer races comprise of several quick heats, and if you win enough of them you win the race. There is even a Controller share option so that eight players can race their own vehicles simultaneously.",Codemasters,Racing,8.6,Great,N64 PS PC GBC,47.99 USD,Midway  Games,E for Everyone,Mild Animated Violence,"http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Mar. 24, 1999",http://ign64.ign.com/articles/153/153961p1.html,Micro Machines 64 Turbo,http://www.ign.com/games/micro-machines-64-turbo/n64-3961
8.3,Great,"Do you have the grit to take a corner at 300 miles per hour while grinding your opponent into a wall as you turn? If not, don't bother checking out ROLLCAGE, the most intense, high-octane racing game imaginable. The game features 20 unique tracks through four different environments including canyons, cities, and roadways. The six included vehicles can actually race on any surface you see in the game meaning you can race on tunnel ceilings, over gigantic boulders, up walls, and more. Each vehicle is absolutely indestructible and is rated for speed, acceleration, strength, and grip. You'll find eight powerful offensive weapons and boosts to give you an edge on the competition including homing missiles, a drill, a leader missile that seeks out the first-place combatant, ice sheets, and a leapfrog-style wormhole. You can play in League, Time Attack, Two-Player, and Practice modes. The League starts you out in the Gemini division, challenging you to obtain enough points to rise to the Scorpio and Taurus divisions, while Time Attack lets you battle the clock or a ghost racer, making for some exciting finishes. With awesome gameplay and graphics and lots of hidden bonuses, ROLLCAGE is pure racing excitement.",Attention to Detail (ATD),Racing,9.0,Amazing,PS PC,17.99 USD,Psygnosis,E for Everyone,Animated Violence,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Mar 17, 1999",http://psx.ign.com/articles/160/160582p1.html,Rollcage,http://www.ign.com/games/rollcage/ps-10582
8.7,Great,"Looking for a racing game that will appeal to every gaming fan? You've found it in BEETLE ADVENTURE RACING from Electronic Arts! This isn't Herbie the Love Bug these Beetles are an updated version of the classic. Take your Beetle for a spin out on the track or take it off-road! Choose from several cool, hip Beetles, each with its own distinct style. Kick your Beetles speed up a notch with a wild nitro boost, and race up ramps for death-defying jumps. This game is loaded with so many goodies and secrets to uncover, you'll never get tired of just cruising in your Beetle looking for them. Race your car through the Championship Season and discover secret tracks, or challenge a chum in the Duel mode. You can also leave the pavement for the rugged terrain in the Time Trial mode or go on the attack in a Beetle Battle with up to four players.","Paradigm Entertainment, Electronic Arts",Racing,9.1,Amazing,N64,60.99 USD,Electronic Arts,E for Everyone,,"http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","March 24, 1999",http://ign64.ign.com/articles/160/160070p1.html,Beetle Adventure Racing,http://www.ign.com/games/beetle-adventure-racing/n64-10070
8.3,Great,Push your car to the limits in High Stakes racing for prize money to customize and buy your dream cars. Gamble your car on single races or develop your career. Cars can be damaged and a new Hot Pursuit mode has been added requiring you to avoid being caught by the police. Features eighteen models of cars on nineteen courses.,EA Canada,Racing,8.8,Great,PS PC,28.99 USD,Electronic Arts,E for Everyone,No Descriptors,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","March 24, 1999",http://psx.ign.com/articles/160/160968p1.html,Need for Speed: High Stakes,http://www.ign.com/games/need-for-speed-high-stakes/ps-10968
8.3,Great,"EA Sports brings power baseball back for another  season with Triple Play 2001. Major League Baseball (MLB) and MLBPA licenses give game players all the teams and players in the major leagues. For the first time in the Triple Play Series, Triple Play 2001 brings the legends of the game to the plate with the exclusive MLBPA Big League Challenge Mode. Baseball's storied history comes alive with legendary players such as Babe Ruth, Willie Mays, Ted Williams, Lou Gehrig, Cy Young, Jackie Robinson, and many more historical baseball legends. Step up to the plate and see if you can compete as or against the greatest home run batters of all time.",EA Canada,Sports,9.2,Amazing,PS PC N64,48.99 USD,Electronic Arts,E for Everyone,,"http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Mar 27, 1999",http://psx.ign.com/articles/160/160788p1.html,Triple Play 2000,http://www.ign.com/games/triple-play-2000/ps-10788
6.3,Okay,"EA Sports brings power baseball back for another  season with Triple Play 2001. Major League Baseball (MLB) and MLBPA licenses give game players all the teams and players in the major leagues. For the first time in the Triple Play Series, Triple Play 2001 brings the legends of the game to the plate with the exclusive MLBPA Big League Challenge Mode. Baseball's storied history comes alive with legendary players such as Babe Ruth, Willie Mays, Ted Williams, Lou Gehrig, Cy Young, Jackie Robinson, and many more historical baseball legends. Step up to the plate and see if you can compete as or against the greatest home run batters of all time.",Treyarch,Sports,5.4,Mediocre,N64 PS PC,19.99 USD,Electronic Arts,E for Everyone,,"http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","March 22, 1999",http://ign64.ign.com/articles/160/160654p1.html,Triple Play 2000,http://www.ign.com/games/triple-play-2000/n64-10654
3.5,Awful,"Snowboarding has become one of the most popular videogame activities. Entering the boarding fray is FREESTYLE BOARDIN' '99. You get to choose from six different boarders with varied skills, and then you can hit the slopes in the Championship mode. After each event in the Championship mode, you are given a small number of points to distribute to your rider's attributes. You'll notice the difference as your rider's skills improve as you progress through the game. Should you and your friends want to decide who has the most radical moves, plug in the extra controller and go at it in the two-player split-screen mode. All of the action is captured with beautiful animation and rock solid framerates (even in the two-player modes). FREESTYLE BOARDIN' '99 provides all of the actions that snowboarding fans have come to expect in a videogame.",Pony Canyon,"Extreme, Sports",1.0,Unbearable,PS,38.99 USD,Capcom,E for Everyone,No Descriptors,"http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","January 5, 1999",http://psx.ign.com/articles/160/160373p1.html,Freestyle Boardin' '99,http://www.ign.com/games/freestyle-boardin-99-142173/ps-10373
7.0,Good,"Perhaps one of the most innovative games to hit the market in a long time, ARMY MEN 3D provides fun gameplay for people of all ages. You can travel by foot or use one of the four available vehicles: a half track, a jeep, a cargo truck, or a tank. If that's not enough, ARMY MEN 3D offers a wide variety of weapons, from machine guns and mortars to bazookas and flame throwers. Don't think you'll be taking on the enemy alone, though you're in control of an entire unit of troops with one thing on their collective mind: destroy the Tan army. What bring this game to life are the animations flame throwers melt units, bazookas blow vehicles into bits, and tanks flatten plastic units. If you get a hankering to toast your friend, battle him in the Two-Player Split-Screen mode in a game of Capture the Flag. ARMY MEN 3D sets a new trend in gaming that will hopefully will be followed in the near future.",3DO,Action,7.0,Good,PS,28.99 USD,3DO,T for Teen,Animated Violence,"http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Mar 2, 1999",http://psx.ign.com/articles/154/154030p1.html,Army Men 3D,http://www.ign.com/games/army-men-3d/ps-4030
8.4,Great,"Raccoon City has somehow fallen victim to a zombie outbreak and it's up to you as either police officer Leon Kennedy, or Claire Redfield (sister to Chris Redfield from RE1), to find out what's going on. The adventure, which takes place in 3D using pre-rendered backgrounds, drags you through spooky crash sites, abandoned buildings, experiments gone wrong and more -- all the while battling undead monstrosities, solving puzzles and, most of all, trying to stay alive. Lots of weapons and other gadgetry allow for some truly disgusting mayhem. It's an incredibly frightening game that delivers a light back-story and lots of slasher movie, jump-out-and-go-boo scares.",Capcom Production Studio 3,"Third-Person, Action",6.8,Okay,PC,,Virgin Interactive,M for Mature,"Animated Blood and Gore, Animated Violence","http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/metal-gear-solid-5/pc-20023125,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/rise-of-the-tomb-raider/pc-20020150,http://www.ign.com/games/assassins-creed-black-flag/pc-159976,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","June 30, 2000",http://pc.ign.com/articles/160/160402p1.html,Resident Evil 2,http://www.ign.com/games/resident-evil-2/pc-10402
